,Name,Age,word,model,realization,rep_model,rep_realization
0,TD PL-II C12,P5Y6M0DT0H0M0S,Gabel,ˈɡaːbəl,ˈɡabəl,"[True, False]","[True, False]"
1,TD PL-II C12,P5Y6M0DT0H0M0S,Tasche,ˈtaʃə,ˈtaʃə,"[True, False]","[True, False]"
2,TD PL-II C12,P5Y6M0DT0H0M0S,Hund,ˈhʊnt,ˈhʊnt,[True],[True]
3,TD PL-II C12,P5Y6M0DT0H0M0S,Topf,ˈtɔp͡f,ˈtɔp͡f,[True],[True]
4,TD PL-II C12,P5Y6M0DT0H0M0S,Lampe,ˈlampə,ˈlampə,"[True, False]","[True, False]"
5,TD PL-II C12,P5Y6M0DT0H0M0S,Vogel,ˈfoːɡəl,ˈfoːɡəl,"[True, False]","[True, False]"
6,TD PL-II C12,P5Y6M0DT0H0M0S,Licht,ˈlɪçt,ˈlɪçt,[True],[True]
7,TD PL-II C12,P5Y6M0DT0H0M0S,Sonne,ˈzɔnə,ˈzɔnə,"[True, False]","[True, False]"
8,TD PL-II C12,P5Y6M0DT0H0M0S,Pullover,pʊlˈoːvɐ,pʊlˈoːvɐ,"[False, True, False]","[False, True, False]"
9,TD PL-II C12,P5Y6M0DT0H0M0S,Stuhl,ˈʃtuːl,ˈʃtuːl,[True],[True]
10,TD PL-II C12,P5Y6M0DT0H0M0S,Marienkäfer,maˈʁiːŋˌkɛːfɐ,maˈʁiːŋˌkɛːfɐ,"[False, True, False, False]","[False, True, False, False]"
11,TD PL-II C12,P5Y6M0DT0H0M0S,Taucher,ˈtaʊxɐ,ˈtaʊxɐ,"[True, False]","[True, False]"
12,TD PL-II C12,P5Y6M0DT0H0M0S,Haus,ˈhaʊs,ˈhaʊs,[True],[True]
13,TD PL-II C12,P5Y6M0DT0H0M0S,rot,ˈʁoːt,ˈʁoːt,[True],[True]
14,TD PL-II C12,P5Y6M0DT0H0M0S,Junge,ˈjʊŋə,ˈjʊŋə,"[True, False]","[True, False]"
15,TD PL-II C12,P5Y6M0DT0H0M0S,Telefon,ˈtelefoːn,ˈtelefoːn,"[True, False, False]","[True, False, False]"
16,TD PL-II C12,P5Y6M0DT0H0M0S,Spinne,ˈʃpɪnə,ˈʃpɪnə,"[True, False]","[True, False]"
17,TD PL-II C12,P5Y6M0DT0H0M0S,Hase,ˈhaːzə,ˈhaːzə,"[True, False]","[True, False]"
18,TD PL-II C12,P5Y6M0DT0H0M0S,Katze,ˈkaʦə,ˈkaʦə,"[True, False]","[True, False]"
19,TD PL-II C12,P5Y6M0DT0H0M0S,Tasse,ˈtasə,ˈtasə,"[True, False]","[True, False]"
21,TD PL-II C12,P5Y6M0DT0H0M0S,Bett,ˈbɛt,ˈbɛt,[True],[True]
22,TD PL-II C12,P5Y6M0DT0H0M0S,Trommel,ˈtʁɔməl,ˈtʁɔməl,"[True, False]","[True, False]"
23,TD PL-II C12,P5Y6M0DT0H0M0S,Löwe,ˈløːvə,ˈløːvə,"[True, False]","[True, False]"
24,TD PL-II C12,P5Y6M0DT0H0M0S,Teller,ˈtɛlɐ,ˈtɛlɐ,"[True, False]","[True, False]"
25,TD PL-II C12,P5Y6M0DT0H0M0S,Motorrad,moˈtoːˌʁaːt,moˈtoːˌʁaːt,"[False, True, False]","[False, True, False]"
26,TD PL-II C12,P5Y6M0DT0H0M0S,Schnecke,ˈʃnɛkə,ˈʃnɛkə,"[True, False]","[True, False]"
27,TD PL-II C12,P5Y6M0DT0H0M0S,Zitrone,ʦiˈtʁoːnə,ʦiˈtʁoːnə,"[False, True, False]","[False, True, False]"
28,TD PL-II C12,P5Y6M0DT0H0M0S,Nest,ˈnɛst,ˈnɛs,[True],[True]
29,TD PL-II C12,P5Y6M0DT0H0M0S,Rutsche,ˈʁʊtʃə,ˈʁʊtʃə,"[True, False]","[True, False]"
30,TD PL-II C12,P5Y6M0DT0H0M0S,Becher,ˈbɛçɐ,ˈbɛçɐ,"[True, False]","[True, False]"
31,TD PL-II C12,P5Y6M0DT0H0M0S,Feder,ˈfeːdɐ,ˈfeːdɐ,"[True, False]","[True, False]"
32,TD PL-II C12,P5Y6M0DT0H0M0S,Brief,ˈbʁiːf,ˈbʁiːf,[True],[True]
33,TD PL-II C12,P5Y6M0DT0H0M0S,Baum,ˈbaʊm,ˈbaʊm,[True],[True]
34,TD PL-II C12,P5Y6M0DT0H0M0S,Zebra,ˈʦeːbʁaː,ˈʦeːbʁaː,"[True, False]","[True, False]"
35,TD PL-II C12,P5Y6M0DT0H0M0S,Knöpfe,ˈknœp͡fə,ˈknœp͡fə,"[True, False]","[True, False]"
36,TD PL-II C12,P5Y6M0DT0H0M0S,drei,ˈdʁaɪ,ˈdʁaɪ,[True],[True]
37,TD PL-II C12,P5Y6M0DT0H0M0S,Fisch,ˈfɪʃ,ˈfɪʃ,[True],[True]
38,TD PL-II C12,P5Y6M0DT0H0M0S,Milch,ˈmɪlç,ˈmɪlç,[True],[True]
39,TD PL-II C12,P5Y6M0DT0H0M0S,Polizei,poliˈʦaɪ,poliˈʦaɪ,"[False, False, True]","[False, False, True]"
40,TD PL-II C12,P5Y6M0DT0H0M0S,Flasche,ˈflaʃə,ˈflaʃə,"[True, False]","[True, False]"
41,TD PL-II C12,P5Y6M0DT0H0M0S,Krokodil,kʁokoˈdiːl,kʁokoˈdiːl,"[False, False, True]","[False, False, True]"
42,TD PL-II C12,P5Y6M0DT0H0M0S,grün,ˈɡʁyːn,ˈɡʁyːn,[True],[True]
43,TD PL-II C12,P5Y6M0DT0H0M0S,Elefant,eleˈfant,eleˈfant,"[False, False, True]","[False, False, True]"
44,TD PL-II C12,P5Y6M0DT0H0M0S,Blume,ˈbluːmə,ˈbluːmə,"[True, False]","[True, False]"
45,TD PL-II C12,P5Y6M0DT0H0M0S,Gespenst,ɡəˈʃpɛnst,ɡəˈʃpɛnst,"[False, True]","[False, True]"
46,TD PL-II C12,P5Y6M0DT0H0M0S,Drache,ˈdʁaxə,ˈdʁaxə,"[True, False]","[True, False]"
47,TD PL-II C12,P5Y6M0DT0H0M0S,Banane,baˈnaːnə,baˈnaːnə,"[False, True, False]","[False, True, False]"
48,TD PL-II C12,P5Y6M0DT0H0M0S,Bagger,ˈbaɡɐ,ˈbaɡɐ,"[True, False]","[True, False]"
49,TD PL-II C12,P5Y6M0DT0H0M0S,gelb,ˈɡɛlp,ˈɡɛlp,[True],[True]
50,TD PL-II C12,P5Y6M0DT0H0M0S,Geburtstag,ɡəˈbʊɐʦtaːk,ɡəˈbʊɐʦtaːk,"[False, True, False]","[False, True, False]"
51,TD PL-II C12,P5Y6M0DT0H0M0S,Jacke,ˈjakə,ˈjakə,"[True, False]","[True, False]"
53,TD PL-II C12,P5Y6M0DT0H0M0S,Ring,ˈʁɪŋ,ˈʁɪŋ,[True],[True]
54,TD PL-II C12,P5Y6M0DT0H0M0S,Bild,ˈbɪlt,ˈbɪlt,[True],[True]
55,TD PL-II C12,P5Y6M0DT0H0M0S,Schmetterling,ˈʃmɛtɐlɪŋ,ˈʃmɛtɐlɪŋ,"[True, False, False]","[True, False, False]"
56,TD PL-II C12,P5Y6M0DT0H0M0S,Bank,ˈbaŋk,ˈbaŋk,[True],[True]
57,TD PL-II C12,P5Y6M0DT0H0M0S,Trampolin,ˈtʁampoliːn,ˈtʁampoliːn,"[True, False, False]","[True, False, False]"
58,TD PL-II C12,P5Y6M0DT0H0M0S,Roller,ˈʁɔlɐ,ˈʁɔlɐ,"[True, False]","[True, False]"
59,TD PL-II C12,P5Y6M0DT0H0M0S,Buch,ˈbuːx,ˈbuːx,[True],[True]
60,TD PL-II C12,P5Y6M0DT0H0M0S,Spritze,ˈʃpʁɪʦə,ˈʃpʁɪʦə,"[True, False]","[True, False]"
61,TD PL-II C12,P5Y6M0DT0H0M0S,Jäger,ˈjɛːɡɐ,ˈjɛːɡɐ,"[True, False]","[True, False]"
62,TD PL-II C12,P5Y6M0DT0H0M0S,Schiff,ˈʃɪf,ˈʃɪf,[True],[True]
63,TD PL-II C12,P5Y6M0DT0H0M0S,König,ˈkøːnɪç,ˈkøːnɪç,"[True, False]","[True, False]"
64,TD PL-II C12,P5Y6M0DT0H0M0S,Glas,ˈɡlaːs,ˈɡlaːs,[True],[True]
65,TD PL-II C12,P5Y6M0DT0H0M0S,Auto,ˈaʊtoː,ˈaʊtoː,"[True, False]","[True, False]"
66,TD PL-II C12,P5Y6M0DT0H0M0S,kaputt,kaˈpʊt,kaˈpʊt,"[False, True]","[False, True]"
67,TD PL-II C12,P5Y6M0DT0H0M0S,blau,ˈblaʊ,ˈblaʊ,[True],[True]
68,TD PL-II C12,P5Y6M0DT0H0M0S,Schwein,ˈʃvaɪn,ˈʃvaɪn,[True],[True]
69,TD PL-II C12,P5Y6M0DT0H0M0S,Sack,ˈzak,ˈzak,[True],[True]
70,TD PL-II C12,P5Y6M0DT0H0M0S,Pflaster,ˈp͡flastɐ,ˈp͡flastɐ,"[True, False]","[True, False]"
71,TD PL-II C12,P5Y6M0DT0H0M0S,Trecker,ˈtʁɛkɐ,ˈtʁɛkɐ,"[True, False]","[True, False]"
72,TD PL-II C12,P5Y6M0DT0H0M0S,Schrank,ˈʃʁaŋk,ˈʃʁaŋk,[True],[True]
73,TD PL-II C12,P5Y6M0DT0H0M0S,Apfel,ˈap͡fəl,ˈap͡fəl,"[True, False]","[True, False]"
74,TD PL-II C12,P5Y6M0DT0H0M0S,Zange,ˈʦaŋə,ˈsaŋə,"[True, False]","[True, False]"
75,TD PL-II C12,P5Y6M0DT0H0M0S,Schere,ˈʃeːʁə,ˈʃeːʁə,"[True, False]","[True, False]"
76,TD PL-II C12,P5Y6M0DT0H0M0S,Geschenk,ɡəˈʃɛŋk,ɡəˈʃɛŋk,"[False, True]","[False, True]"
77,TD PL-II C12,P5Y6M0DT0H0M0S,Fenster,ˈfɛnstɐ,ˈfɛnstɐ,"[True, False]","[True, False]"
78,TD PL-II C12,P5Y6M0DT0H0M0S,Brille,ˈbʁɪlə,ˈbʁɪlə,"[True, False]","[True, False]"
79,TD PL-II C12,P5Y6M0DT0H0M0S,Wurst,ˈvʊɐst,ˈvʊɐst,[True],[True]
80,TD PL-II C12,P5Y6M0DT0H0M0S,Gras,ˈɡʁaːs,ˈɡʁaːs,[True],[True]
81,TD PL-II C12,P5Y6M0DT0H0M0S,Schlange,ˈʃlaŋə,ˈsaŋə,"[True, False]","[True, False]"
82,TD PL-II C12,P5Y6M0DT0H0M0S,Hexe,ˈhɛksə,ˈhɛksə,"[True, False]","[True, False]"
83,TD PL-II C12,P5Y6M0DT0H0M0S,Frosch,ˈfʁɔʃ,ˈfʁɔʃ,[True],[True]
84,TD PL-II C12,P5Y6M0DT0H0M0S,Zwerg,ˈʦvɛɐk,ˈʦvɛɐk,[True],[True]
85,TD PL-II C12,P5Y6M0DT0H0M0S,quak,ˈkvak,ˈkvak,[True],[True]
86,TD PL-II C12,P5Y6M0DT0H0M0S,Pferd,ˈp͡feːɐt,ˈp͡feːɐt,[True],[True]
87,TD PL-II C12,P5Y6M0DT0H0M0S,Gießkanne,ˈɡiːsˌkanə,ˈɡiːsˌkanə,"[True, False, False]","[True, False, False]"
88,TD PL-II C12,P5Y6M0DT0H0M0S,Wippe,ˈvɪpə,ˈvɪpə,"[True, False]","[True, False]"
89,TD PL-II C12,P5Y6M0DT0H0M0S,Kleid,ˈklaɪt,ˈklaɪt,[True],[True]
90,TD PL-II C12,P5Y6M0DT0H0M0S,Nuss,ˈnʊs,ˈnʊs,[True],[True]
91,TD PL-II C12,P5Y6M0DT0H0M0S,Giraffe,ɡiˈʁafə,ɡiˈʁafə,"[False, True, False]","[False, True, False]"
92,TD PL-II C12,P5Y6M0DT0H0M0S,Korb,ˈkɔɐp,ˈkɔɐp,[True],[True]
93,TD PL-II C12,P5Y6M0DT0H0M0S,Schlüssel,ˈʃlʏsəl,ˈʃlʏsəl,[True],[True]
94,TD PL-II C12,P5Y6M0DT0H0M0S,Dusche,ˈduːʃə,ˈduːʃə,"[True, False]","[True, False]"
95,TD PL-II C12,P5Y6M0DT0H0M0S,Gitarre,ɡiˈtaʁə,ɡiˈtaʁə,"[False, True, False]","[False, True, False]"
96,TD PL-II C28,P8Y7M0DT0H0M0S,Tasche,ˈtaʃə,ˈtaʃə,"[True, False]","[True, False]"
97,TD PL-II C28,P8Y7M0DT0H0M0S,Gabel,ˈɡaːbəl,ˈɡabəl,"[True, False]","[True, False]"
98,TD PL-II C28,P8Y7M0DT0H0M0S,Hund,ˈhʊnt,ˈhʊnt,[True],[True]
99,TD PL-II C28,P8Y7M0DT0H0M0S,Topf,ˈtɔp͡f,ˈtɔp͡f,[True],[True]
100,TD PL-II C28,P8Y7M0DT0H0M0S,Lampe,ˈlampə,ˈlampə,"[True, False]","[True, False]"
101,TD PL-II C28,P8Y7M0DT0H0M0S,Vogel,ˈfoːɡəl,ˈfoːɡəl,"[True, False]","[True, False]"
102,TD PL-II C28,P8Y7M0DT0H0M0S,Licht,*,*,[False],[False]
103,TD PL-II C28,P8Y7M0DT0H0M0S,Sonne,ˈzɔnə,ˈzɔnə,"[True, False]","[True, False]"
104,TD PL-II C28,P8Y7M0DT0H0M0S,Pullover,pʊlˈoːvɐ,pʊlˈoːvɐ,"[False, True, False]","[False, True, False]"
105,TD PL-II C28,P8Y7M0DT0H0M0S,Stuhl,ˈʃtuːl,ˈʃtuːl,[True],[True]
106,TD PL-II C28,P8Y7M0DT0H0M0S,Marienkäfer,maˈʁiːŋˌkɛːfɐ,maˈʁiːŋˌkɛːfɐ,"[False, True, False, False]","[False, True, False, False]"
107,TD PL-II C28,P8Y7M0DT0H0M0S,Taucher,ˈtaʊxɐ,ˈtaʊxɐ,"[True, False]","[True, False]"
108,TD PL-II C28,P8Y7M0DT0H0M0S,Haus,ˈhaʊs,ˈhaʊs,[True],[True]
109,TD PL-II C28,P8Y7M0DT0H0M0S,rot,ˈʁoːt,ˈʁoːt,[True],[True]
110,TD PL-II C28,P8Y7M0DT0H0M0S,Junge,ˈjʊŋə,ˈjʊŋə,"[True, False]","[True, False]"
111,TD PL-II C28,P8Y7M0DT0H0M0S,Telefon,ˈtelefoːn,ˈtelefoːn,"[True, False, False]","[True, False, False]"
112,TD PL-II C28,P8Y7M0DT0H0M0S,Spinne,ˈʃpɪnə,ˈʃpɪnə,"[True, False]","[True, False]"
113,TD PL-II C28,P8Y7M0DT0H0M0S,Hase,ˈhaːzə,ˈhaːzə,"[True, False]","[True, False]"
114,TD PL-II C28,P8Y7M0DT0H0M0S,Katze,ˈkaʦə,ˈkaʦə,"[True, False]","[True, False]"
115,TD PL-II C28,P8Y7M0DT0H0M0S,Tasse,ˈtasə,ˈtasə,"[True, False]","[True, False]"
117,TD PL-II C28,P8Y7M0DT0H0M0S,Bett,ˈbɛt,ˈbɛt,[True],[True]
118,TD PL-II C28,P8Y7M0DT0H0M0S,Trommel,ˈtʁɔməl,ˈtʁɔməl,"[True, False]","[True, False]"
119,TD PL-II C28,P8Y7M0DT0H0M0S,Löwe,ˈløːvə,ˈløːvə,"[True, False]","[True, False]"
120,TD PL-II C28,P8Y7M0DT0H0M0S,Teller,ˈtɛlɐ,ˈtɛlɐ,"[True, False]","[True, False]"
121,TD PL-II C28,P8Y7M0DT0H0M0S,Motorrad,moˈtoːˌʁaːt,moˈtoːˌʁaːt,"[False, True, False]","[False, True, False]"
122,TD PL-II C28,P8Y7M0DT0H0M0S,Schnecke,ˈʃnɛkə,ˈʃnɛkə,"[True, False]","[True, False]"
123,TD PL-II C28,P8Y7M0DT0H0M0S,Zitrone,ʦiˈtʁoːnə,ʦiˈtʁoːnə,"[False, True, False]","[False, True, False]"
124,TD PL-II C28,P8Y7M0DT0H0M0S,Nest,ˈnɛst,ˈnɛst,[True],[True]
125,TD PL-II C28,P8Y7M0DT0H0M0S,Rutsche,ˈʁʊtʃə,ˈʁʊtʃə,"[True, False]","[True, False]"
126,TD PL-II C28,P8Y7M0DT0H0M0S,Feder,ˈfeːdɐ,ˈfeːdɐ,"[True, False]","[True, False]"
127,TD PL-II C28,P8Y7M0DT0H0M0S,Becher,ˈbɛçɐ,ˈbɛçɐ,"[True, False]","[True, False]"
128,TD PL-II C28,P8Y7M0DT0H0M0S,Brief,ˈbʁiːf,ˈbʁiːf,[True],[True]
129,TD PL-II C28,P8Y7M0DT0H0M0S,Baum,ˈbaʊm,ˈbaʊm,[True],[True]
130,TD PL-II C28,P8Y7M0DT0H0M0S,Zebra,ˈʦeːbʁaː,ˈʦeːbʁaː,"[True, False]","[True, False]"
131,TD PL-II C28,P8Y7M0DT0H0M0S,Knöpfe,ˈknœp͡fə,ˈknœp͡fə,"[True, False]","[True, False]"
132,TD PL-II C28,P8Y7M0DT0H0M0S,drei,ˈdʁaɪ,ˈdʁaɪ,[True],[True]
133,TD PL-II C28,P8Y7M0DT0H0M0S,Fisch,ˈfɪʃ,ˈfœʃ,[True],[True]
134,TD PL-II C28,P8Y7M0DT0H0M0S,Milch,ˈmɪlç,ˈmɪlç,[True],[True]
135,TD PL-II C28,P8Y7M0DT0H0M0S,Polizei,poliˈʦaɪ,poliˈʦɪst,"[False, False, True]","[False, False, True]"
136,TD PL-II C28,P8Y7M0DT0H0M0S,Flasche,ˈflaʃə,ˈflaʃə,"[True, False]","[True, False]"
137,TD PL-II C28,P8Y7M0DT0H0M0S,Krokodil,kʁokoˈdiːl,kʁokoˈdiːl,"[False, False, True]","[False, False, True]"
138,TD PL-II C28,P8Y7M0DT0H0M0S,grün,*,*,[False],[False]
139,TD PL-II C28,P8Y7M0DT0H0M0S,Elefant,eleˈfant,eleˈfant,"[False, False, True]","[False, False, True]"
140,TD PL-II C28,P8Y7M0DT0H0M0S,Blume,ˈbluːmə,ˈbluːmə,"[True, False]","[True, False]"
141,TD PL-II C28,P8Y7M0DT0H0M0S,Gespenst,ɡəˈʃpɛnst,ɡəˈʃpɛnst,"[False, True]","[False, True]"
142,TD PL-II C28,P8Y7M0DT0H0M0S,Drache,ˈdʁaxə,ˈdʁaxə,"[True, False]","[True, False]"
143,TD PL-II C28,P8Y7M0DT0H0M0S,Banane,baˈnaːnə,baˈnaːnə,"[False, True, False]","[False, True, False]"
144,TD PL-II C28,P8Y7M0DT0H0M0S,Bagger,ˈbaɡɐ,ˈbaɡɐ,"[True, False]","[True, False]"
145,TD PL-II C28,P8Y7M0DT0H0M0S,gelb,ˈɡɛlp,ˈɡɛlp,[True],[True]
146,TD PL-II C28,P8Y7M0DT0H0M0S,Geburtstag,ɡəˈbʊɐʦtaːk,ɡəˈbʊɐʦtaːk,"[False, True, False]","[False, True, False]"
147,TD PL-II C28,P8Y7M0DT0H0M0S,Jacke,ˈjakə,ˈjakə,"[True, False]","[True, False]"
149,TD PL-II C28,P8Y7M0DT0H0M0S,Ring,ˈʁɪŋ,ˈʁɪŋ,[True],[True]
150,TD PL-II C28,P8Y7M0DT0H0M0S,Bild,ˈbɪlt,ˈbɪlt,[True],[True]
151,TD PL-II C28,P8Y7M0DT0H0M0S,Schmetterling,ˈʃmɛtɐlɪŋ,ˈʃmɛtɐlɪŋ,"[True, False, False]","[True, False, False]"
152,TD PL-II C28,P8Y7M0DT0H0M0S,Bank,ˈbaŋk,ˈbaŋk,[True],[True]
153,TD PL-II C28,P8Y7M0DT0H0M0S,Trampolin,ˈtʁampoliːn,ˈtʁampoliːn,"[True, False, False]","[True, False, False]"
154,TD PL-II C28,P8Y7M0DT0H0M0S,Roller,ˈʁɔlɐ,ˈʁɔlɐ,"[True, False]","[True, False]"
155,TD PL-II C28,P8Y7M0DT0H0M0S,Buch,ˈbuːx,ˈbuːx,[True],[True]
156,TD PL-II C28,P8Y7M0DT0H0M0S,Spritze,ˈʃpʁɪʦə,ˈʃpʁɪʦə,"[True, False]","[True, False]"
157,TD PL-II C28,P8Y7M0DT0H0M0S,Jäger,ˈjɛːɡɐ,ˈjɛːɡɐ,"[True, False]","[True, False]"
158,TD PL-II C28,P8Y7M0DT0H0M0S,Schiff,ˈʃɪf,ˈʃɪf,[True],[True]
159,TD PL-II C28,P8Y7M0DT0H0M0S,König,ˈkøːnɪç,ˈkøːnɪç,"[True, False]","[True, False]"
160,TD PL-II C28,P8Y7M0DT0H0M0S,Glas,ˈɡlaːs,ˈɡlaːs,[True],[True]
161,TD PL-II C28,P8Y7M0DT0H0M0S,Auto,ˈaʊtoː,ˈaʊtoː,"[True, False]","[True, False]"
162,TD PL-II C28,P8Y7M0DT0H0M0S,kaputt,kaˈpʊt,kaˈpʊt,"[False, True]","[False, True]"
163,TD PL-II C28,P8Y7M0DT0H0M0S,blau,ˈblaʊ,ˈblaʊ,[True],[True]
164,TD PL-II C28,P8Y7M0DT0H0M0S,Schwein,ˈʃvaɪn,ˈʃvaɪn,[True],[True]
165,TD PL-II C28,P8Y7M0DT0H0M0S,Sack,ˈzak,ˈzak,[True],[True]
166,TD PL-II C28,P8Y7M0DT0H0M0S,Pflaster,ˈp͡flastɐ,ˈp͡flastɐ,"[True, False]","[True, False]"
167,TD PL-II C28,P8Y7M0DT0H0M0S,Traktor,ˈtʁaktoɐ,ˈtʁaktoɐ,"[True, False]","[True, False]"
168,TD PL-II C28,P8Y7M0DT0H0M0S,Schrank,ˈʃʁaŋk,ˈʃʁaŋk,[True],[True]
169,TD PL-II C28,P8Y7M0DT0H0M0S,Apfel,ˈap͡fəl,ˈap͡fəl,"[True, False]","[True, False]"
170,TD PL-II C28,P8Y7M0DT0H0M0S,Zange,ˈʦaŋə,ˈʦaŋə,"[True, False]","[True, False]"
171,TD PL-II C28,P8Y7M0DT0H0M0S,Schere,ˈʃeːʁə,ˈʃeːʁə,"[True, False]","[True, False]"
172,TD PL-II C28,P8Y7M0DT0H0M0S,Geschenk,ɡəˈʃɛŋk,ɡəˈʃɛŋk,"[False, True]","[False, True]"
173,TD PL-II C28,P8Y7M0DT0H0M0S,Fenster,ˈfɛnstɐ,ˈfɛnstɐ,"[True, False]","[True, False]"
174,TD PL-II C28,P8Y7M0DT0H0M0S,Brille,ˈbʁɪlə,ˈbʁɪlə,"[True, False]","[True, False]"
175,TD PL-II C28,P8Y7M0DT0H0M0S,Wurst,ˈvʊɐst,ˈvʊɐst,[True],[True]
176,TD PL-II C28,P8Y7M0DT0H0M0S,Gras,ˈɡʁaːs,ˈɡʁaːs,[True],[True]
177,TD PL-II C28,P8Y7M0DT0H0M0S,Schlange,ˈʃlaŋə,ˈʃlaŋə,"[True, False]","[True, False]"
178,TD PL-II C28,P8Y7M0DT0H0M0S,Hexe,ˈhɛksə,ˈhɛksə,"[True, False]","[True, False]"
179,TD PL-II C28,P8Y7M0DT0H0M0S,Frosch,ˈfʁɔʃ,ˈfʁɔʃ,[True],[True]
180,TD PL-II C28,P8Y7M0DT0H0M0S,Zwerg,ˈʦvɛɐk,ˈʦvɛɐk,[True],[True]
181,TD PL-II C28,P8Y7M0DT0H0M0S,quak,*,*,[False],[False]
182,TD PL-II C28,P8Y7M0DT0H0M0S,Pferd,ˈp͡feːɐt,ˈp͡feːɐt,[True],[True]
183,TD PL-II C28,P8Y7M0DT0H0M0S,Gießkanne,ˈɡiːsˌkanə,ˈɡiːsˌkanə,"[True, False, False]","[True, False, False]"
184,TD PL-II C28,P8Y7M0DT0H0M0S,Wippe,ˈvɪpə,ˈvɪpə,"[True, False]","[True, False]"
185,TD PL-II C28,P8Y7M0DT0H0M0S,Kleid,ˈklaɪt,ˈklaɪt,[True],[True]
186,TD PL-II C28,P8Y7M0DT0H0M0S,Nuss,ˈnʊs,ˈnʊs,[True],[True]
187,TD PL-II C28,P8Y7M0DT0H0M0S,Giraffe,ɡiˈʁafə,ɡiˈʁafə,"[False, True, False]","[False, True, False]"
188,TD PL-II C28,P8Y7M0DT0H0M0S,Korb,ˈkɔɐp,ˈkɔɐp,[True],[True]
189,TD PL-II C28,P8Y7M0DT0H0M0S,Schlüssel,ˈʃlʏsəl,ˈʃlʏsəl,[True],[True]
190,TD PL-II C28,P8Y7M0DT0H0M0S,Dusche,ˈduːʃə,ˈduːʃə,"[True, False]","[True, False]"
191,TD PL-II C28,P8Y7M0DT0H0M0S,Gitarre,ɡiˈtaʁə,ɡiˈtaʁə,"[False, True, False]","[False, True, False]"
192,TD PL-II C19,P5Y1M0DT0H0M0S,Hund,ˈhʊnt,ˈhʊn,[True],[True]
193,TD PL-II C19,P5Y1M0DT0H0M0S,Tasche,ˈtaʃə,ˈtaθə,"[True, False]","[True, False]"
194,TD PL-II C19,P5Y1M0DT0H0M0S,Gabel,ˈɡaːbəl,ˈɡabəl,"[True, False]","[True, False]"
195,TD PL-II C19,P5Y1M0DT0H0M0S,Topf,ˈtɔp͡f,ˈtɔp͡f,[True],[True]
196,TD PL-II C19,P5Y1M0DT0H0M0S,Lampe,ˈlampə,ˈlampə,"[True, False]","[True, False]"
197,TD PL-II C19,P5Y1M0DT0H0M0S,Vogel,ˈfoːɡəl,ˈfoːɡəl,"[True, False]","[True, False]"
198,TD PL-II C19,P5Y1M0DT0H0M0S,Licht,ˈlɪçt,ˈlɪçt,[True],[True]
199,TD PL-II C19,P5Y1M0DT0H0M0S,Sonne,ˈzɔnə,ˈzɔnə,"[True, False]","[True, False]"
200,TD PL-II C19,P5Y1M0DT0H0M0S,Pullover,pʊlˈoːvɐ,pəlˈovɐ,"[False, True, False]","[False, True, False]"
201,TD PL-II C19,P5Y1M0DT0H0M0S,Stuhl,ˈʃtuːl,ˈʃtuːl,[True],[True]
202,TD PL-II C19,P5Y1M0DT0H0M0S,Marienkäfer,maˈʁiːŋˌkɛːfɐ,maˈʁiːŋˌkɛːfɐ,"[False, True, False, False]","[False, True, False, False]"
203,TD PL-II C19,P5Y1M0DT0H0M0S,Taucher,ˈtaʊxɐ,ˈtaʊxɐ,"[True, False]","[True, False]"
204,TD PL-II C19,P5Y1M0DT0H0M0S,Haus,ˈhaʊs,ˈhaʊs,[True],[True]
205,TD PL-II C19,P5Y1M0DT0H0M0S,rot,ˈʁoːt,ˈʁoːt,[True],[True]
206,TD PL-II C19,P5Y1M0DT0H0M0S,Telefon,ˈtelefoːn,ˈtelefoːn,"[True, False, False]","[True, False, False]"
207,TD PL-II C19,P5Y1M0DT0H0M0S,Spinne,ˈʃpɪnə,ˈʃpɪnə,"[True, False]","[True, False]"
208,TD PL-II C19,P5Y1M0DT0H0M0S,Junge,ˈjʊŋə,ˈjʊŋə,"[True, False]","[True, False]"
209,TD PL-II C19,P5Y1M0DT0H0M0S,Hase,ˈhaːzə,ˈhaːzə,"[True, False]","[True, False]"
210,TD PL-II C19,P5Y1M0DT0H0M0S,Katze,ˈkaʦə,ˈkaʦə,"[True, False]","[True, False]"
211,TD PL-II C19,P5Y1M0DT0H0M0S,Tasse,ˈtasə,ˈtaθə,"[True, False]","[True, False]"
213,TD PL-II C19,P5Y1M0DT0H0M0S,Bett,ˈbɛt,ˈbɛt,[True],[True]
214,TD PL-II C19,P5Y1M0DT0H0M0S,Trommel,ˈtʁɔməl,ˈtʁɔməl,"[True, False]","[True, False]"
215,TD PL-II C19,P5Y1M0DT0H0M0S,Löwe,ˈløːvə,ˈløːvə,"[True, False]","[True, False]"
216,TD PL-II C19,P5Y1M0DT0H0M0S,Teller,ˈtɛlɐ,ˈtɛlɐ,"[True, False]","[True, False]"
217,TD PL-II C19,P5Y1M0DT0H0M0S,Motorrad,moˈtoːˌʁaːt,moˈtoːˌʁaːt,"[False, True, False]","[False, True, False]"
218,TD PL-II C19,P5Y1M0DT0H0M0S,Schnecke,ˈʃnɛkə,ˈʃnɛkə,"[True, False]","[True, False]"
219,TD PL-II C19,P5Y1M0DT0H0M0S,Zitrone,ʦiˈtʁoːnə,ʦiˈtʁoːnə,"[False, True, False]","[False, True, False]"
